,행정구역,미성년자,성인,노인,총인구수,미성년자_비율,성인_비율,노인_비율
0,서울특별시 ,1405611,5987255,2275599,9668465,14.54,61.93,23.54
1,서울특별시 종로구,18540,91049,39795,149384,12.41,60.95,26.64
2,서울특별시 중구,13609,77406,34225,125240,10.87,61.81,27.33
3,서울특별시 용산구,29105,144322,56613,230040,12.65,62.74,24.61
4,서울특별시 성동구,40264,186216,67076,293556,13.72,63.43,22.85
5,서울특별시 광진구,45503,225946,75233,346682,13.13,65.17,21.7
6,서울특별시 동대문구,44435,210398,88004,342837,12.96,61.37,25.67
7,서울특별시 중랑구,49823,241647,103232,394702,12.62,61.22,26.15
8,서울특별시 성북구,65967,266035,105151,437153,15.09,60.86,24.05
9,서울특별시 강북구,37741,181061,89253,308055,12.25,58.78,28.97
10,서울특별시 도봉구,44402,189960,90895,325257,13.65,58.4,27.95
11,서울특별시 노원구,86417,311990,124630,523037,16.52,59.65,23.83
12,서울특별시 은평구,68380,289462,121993,479835,14.25,60.33,25.42
13,서울특별시 서대문구,43797,192319,76057,312173,14.03,61.61,24.36
14,서울특별시 마포구,53271,241640,76979,371890,14.32,64.98,20.7
15,서울특별시 양천구,82424,273082,98745,454251,18.15,60.12,21.74
16,서울특별시 강서구,84254,363137,132794,580185,14.52,62.59,22.89
17,서울특별시 구로구,58388,245095,100925,404408,14.44,60.61,24.96
18,서울특별시 금천구,27217,145803,58713,231733,11.74,62.92,25.34
19,서울특별시 영등포구,50114,241690,87676,379480,13.21,63.69,23.1
20,서울특별시 동작구,52385,245896,92939,391220,13.39,62.85,23.76
21,서울특별시 관악구,50972,332452,111636,495060,10.3,67.15,22.55
22,서울특별시 서초구,79180,258867,87079,425126,18.63,60.89,20.48
23,서울특별시 강남구,95900,335394,107937,539231,17.78,62.2,20.02
24,서울특별시 송파구,109812,416574,141574,667960,16.44,62.37,21.19
25,서울특별시 강동구,73711,279814,106445,459970,16.03,60.83,23.14
